Epoch:1	test_acc:0.98516	FRR:0.00392	FAR:0.04748
Epoch:2	test_acc:0.99436	FRR:0.00154	FAR:0.01825
Epoch:3	test_acc:0.99070	FRR:0.00081	FAR:0.03479
Epoch:4	test_acc:0.99570	FRR:0.00283	FAR:0.00891
Epoch:5	test_acc:0.99802	FRR:0.00116	FAR:0.00456
Epoch:6	test_acc:0.99806	FRR:0.00109	FAR:0.00463
Epoch:7	test_acc:0.98833	FRR:0.00069	FAR:0.04415
Epoch:8	test_acc:0.99369	FRR:0.00016	FAR:0.02494
Epoch:9	test_acc:0.99874	FRR:0.00035	FAR:0.00412
Epoch:10	test_acc:0.99362	FRR:0.00008	FAR:0.02548
Epoch:11	test_acc:0.99475	FRR:0.00007	FAR:0.02106
Epoch:12	test_acc:0.99705	FRR:0.00021	FAR:0.01143
Epoch:13	test_acc:0.99761	FRR:0.00014	FAR:0.00937
Epoch:14	test_acc:0.99684	FRR:0.00019	FAR:0.01234
Epoch:15	test_acc:0.99774	FRR:0.00013	FAR:0.00887
Epoch:16	test_acc:0.99878	FRR:0.00061	FAR:0.00311
Epoch:17	test_acc:0.99781	FRR:0.00005	FAR:0.00883
Epoch:18	test_acc:0.99774	FRR:0.00180	FAR:0.00370
Epoch:19	test_acc:0.99891	FRR:0.00007	FAR:0.00426
Epoch:20	test_acc:0.99935	FRR:0.00006	FAR:0.00249
Epoch:21	test_acc:0.99922	FRR:0.00014	FAR:0.00278
Epoch:22	test_acc:0.99959	FRR:0.00015	FAR:0.00123
Epoch:23	test_acc:0.99974	FRR:0.00022	FAR:0.00040
Epoch:24	test_acc:0.99967	FRR:0.00013	FAR:0.00098
Epoch:25	test_acc:0.99937	FRR:0.00014	FAR:0.00217
Epoch:26	test_acc:0.99973	FRR:0.00007	FAR:0.00090
Epoch:27	test_acc:0.99985	FRR:0.00005	FAR:0.00047
Epoch:28	test_acc:0.99941	FRR:0.00018	FAR:0.00184
Epoch:29	test_acc:0.99970	FRR:0.00014	FAR:0.00080
Epoch:30	test_acc:0.99947	FRR:0.00002	FAR:0.00213
Epoch:31	test_acc:0.99867	FRR:0.00002	FAR:0.00540
Epoch:32	test_acc:0.99975	FRR:0.00005	FAR:0.00090
Epoch:33	test_acc:0.99973	FRR:0.00005	FAR:0.00098
Epoch:34	test_acc:0.99949	FRR:0.00001	FAR:0.00206
Epoch:35	test_acc:0.99986	FRR:0.00008	FAR:0.00033
Epoch:36	test_acc:0.99946	FRR:0.00001	FAR:0.00220
Epoch:37	test_acc:0.99984	FRR:0.00013	FAR:0.00025
Epoch:38	test_acc:0.99976	FRR:0.00002	FAR:0.00090
Epoch:39	test_acc:0.99982	FRR:0.00008	FAR:0.00051
Epoch:40	test_acc:0.99986	FRR:0.00005	FAR:0.00043
Epoch:41	test_acc:0.99990	FRR:0.00001	FAR:0.00036
Epoch:42	test_acc:0.99975	FRR:0.00007	FAR:0.00080
Epoch:43	test_acc:0.99977	FRR:0.00006	FAR:0.00076
Epoch:44	test_acc:0.99917	FRR:0.00002	FAR:0.00336
Epoch:45	test_acc:0.99975	FRR:0.00018	FAR:0.00047
Epoch:46	test_acc:0.99981	FRR:0.00007	FAR:0.00058
Epoch:47	test_acc:0.99975	FRR:0.00002	FAR:0.00098
Epoch:48	test_acc:0.99898	FRR:0.00003	FAR:0.00408
Epoch:49	test_acc:0.99913	FRR:0.00006	FAR:0.00339
Epoch:50	test_acc:0.99987	FRR:0.00001	FAR:0.00051
Epoch:51	test_acc:0.99868	FRR:0.00001	FAR:0.00540
Epoch:52	test_acc:0.99917	FRR:0.00003	FAR:0.00332
Epoch:53	test_acc:0.99863	FRR:0.00000	FAR:0.00562
Epoch:54	test_acc:0.99994	FRR:0.00001	FAR:0.00022
Epoch:55	test_acc:0.99994	FRR:0.00001	FAR:0.00022
Epoch:56	test_acc:0.99945	FRR:0.00001	FAR:0.00224
Epoch:57	test_acc:0.99947	FRR:0.00003	FAR:0.00210
Epoch:58	test_acc:0.99945	FRR:0.00003	FAR:0.00217
Epoch:59	test_acc:0.99942	FRR:0.00001	FAR:0.00235
Epoch:60	test_acc:0.99996	FRR:0.00001	FAR:0.00011
Epoch:61	test_acc:0.99935	FRR:0.00001	FAR:0.00264
Epoch:62	test_acc:0.99938	FRR:0.00001	FAR:0.00253
Epoch:63	test_acc:0.99935	FRR:0.00001	FAR:0.00264
Epoch:64	test_acc:0.99916	FRR:0.00001	FAR:0.00343
Epoch:65	test_acc:0.99929	FRR:0.00001	FAR:0.00289
Epoch:66	test_acc:0.99932	FRR:0.00001	FAR:0.00278
Epoch:67	test_acc:0.99931	FRR:0.00002	FAR:0.00278
Epoch:68	test_acc:0.99934	FRR:0.00001	FAR:0.00267
Epoch:69	test_acc:0.99933	FRR:0.00001	FAR:0.00271
Epoch:70	test_acc:0.99937	FRR:0.00002	FAR:0.00253
Epoch:71	test_acc:0.99981	FRR:0.00002	FAR:0.00072
Epoch:72	test_acc:0.99987	FRR:0.00001	FAR:0.00051
Epoch:73	test_acc:0.99984	FRR:0.00005	FAR:0.00051
Epoch:74	test_acc:0.99984	FRR:0.00002	FAR:0.00058
Epoch:75	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:76	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:77	test_acc:0.99986	FRR:0.00002	FAR:0.00051
Epoch:78	test_acc:0.99984	FRR:0.00002	FAR:0.00058
Epoch:79	test_acc:0.99984	FRR:0.00003	FAR:0.00054
Epoch:80	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:81	test_acc:0.99985	FRR:0.00003	FAR:0.00051
Epoch:82	test_acc:0.99983	FRR:0.00005	FAR:0.00054
Epoch:83	test_acc:0.99984	FRR:0.00003	FAR:0.00054
Epoch:84	test_acc:0.99985	FRR:0.00003	FAR:0.00051
Epoch:85	test_acc:0.99994	FRR:0.00003	FAR:0.00014
Epoch:86	test_acc:0.99987	FRR:0.00003	FAR:0.00043
Epoch:87	test_acc:0.99987	FRR:0.00003	FAR:0.00043
Epoch:88	test_acc:0.99987	FRR:0.00003	FAR:0.00043
Epoch:89	test_acc:0.99986	FRR:0.00003	FAR:0.00047
Epoch:90	test_acc:0.99984	FRR:0.00001	FAR:0.00062
Epoch:91	test_acc:0.99985	FRR:0.00002	FAR:0.00054
Epoch:92	test_acc:0.99986	FRR:0.00001	FAR:0.00054
Epoch:93	test_acc:0.99984	FRR:0.00002	FAR:0.00058
Epoch:94	test_acc:0.99987	FRR:0.00001	FAR:0.00051
Epoch:95	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:96	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:97	test_acc:0.99988	FRR:0.00001	FAR:0.00047
Epoch:98	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:99	test_acc:0.99989	FRR:0.00001	FAR:0.00043
Epoch:100	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:101	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:102	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:103	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:104	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:105	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:106	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:107	test_acc:0.99985	FRR:0.00003	FAR:0.00051
Epoch:108	test_acc:0.99986	FRR:0.00003	FAR:0.00047
Epoch:109	test_acc:0.99985	FRR:0.00003	FAR:0.00051
Epoch:110	test_acc:0.99985	FRR:0.00003	FAR:0.00051
Epoch:111	test_acc:0.99986	FRR:0.00003	FAR:0.00047
Epoch:112	test_acc:0.99985	FRR:0.00003	FAR:0.00051
Epoch:113	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:114	test_acc:0.99986	FRR:0.00003	FAR:0.00047
Epoch:115	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:116	test_acc:0.99986	FRR:0.00003	FAR:0.00047
Epoch:117	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:118	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:119	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:120	test_acc:0.99986	FRR:0.00002	FAR:0.00051
Epoch:121	test_acc:0.99986	FRR:0.00002	FAR:0.00051
Epoch:122	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:123	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:124	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:125	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:126	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:127	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:128	test_acc:0.99986	FRR:0.00002	FAR:0.00051
Epoch:129	test_acc:0.99986	FRR:0.00002	FAR:0.00051
Epoch:130	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:131	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:132	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:133	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:134	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:135	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:136	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:137	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:138	test_acc:0.99987	FRR:0.00003	FAR:0.00043
Epoch:139	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:140	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:141	test_acc:0.99987	FRR:0.00003	FAR:0.00043
Epoch:142	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:143	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:144	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:145	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:146	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:147	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:148	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:149	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:150	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:151	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:152	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:153	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:154	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:155	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:156	test_acc:0.99987	FRR:0.00002	FAR:0.00047
Epoch:157	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:158	test_acc:0.99988	FRR:0.00002	FAR:0.00043
Epoch:159	test_acc:0.99987	FRR:0.00003	FAR:0.00043
Epoch:160	test_acc:0.99988	FRR:0.00002	FAR:0.00043
