Epoch:1	test_acc:0.90670	FRR:0.00489	FAR:0.20546
Epoch:2	test_acc:0.98055	FRR:0.02741	FAR:0.00371
Epoch:3	test_acc:0.97713	FRR:0.00318	FAR:0.05614
Epoch:4	test_acc:0.99223	FRR:0.00651	FAR:0.01007
Epoch:5	test_acc:0.99455	FRR:0.00268	FAR:0.01050
Epoch:6	test_acc:0.99386	FRR:0.00095	FAR:0.01544
Epoch:7	test_acc:0.99705	FRR:0.00143	FAR:0.00573
Epoch:8	test_acc:0.99426	FRR:0.00072	FAR:0.01474
Epoch:9	test_acc:0.99068	FRR:0.00057	FAR:0.02478
Epoch:10	test_acc:0.99557	FRR:0.00053	FAR:0.01146
Epoch:11	test_acc:0.99437	FRR:0.00379	FAR:0.00898
Epoch:12	test_acc:0.99521	FRR:0.00157	FAR:0.01062
Epoch:13	test_acc:0.99342	FRR:0.00089	FAR:0.01676
Epoch:14	test_acc:0.99245	FRR:0.00093	FAR:0.01937
Epoch:15	test_acc:0.99693	FRR:0.00134	FAR:0.00624
Epoch:16	test_acc:0.99007	FRR:0.00256	FAR:0.02305
Epoch:17	test_acc:0.96261	FRR:0.02970	FAR:0.05156
Epoch:18	test_acc:0.99109	FRR:0.00307	FAR:0.01939
Epoch:19	test_acc:0.99219	FRR:0.00183	FAR:0.01850
Epoch:20	test_acc:0.99496	FRR:0.00114	FAR:0.01209
Epoch:21	test_acc:0.99723	FRR:0.00089	FAR:0.00620
Epoch:22	test_acc:0.99686	FRR:0.00072	FAR:0.00755
Epoch:23	test_acc:0.99630	FRR:0.00073	FAR:0.00907
Epoch:24	test_acc:0.99656	FRR:0.00072	FAR:0.00837
Epoch:25	test_acc:0.99592	FRR:0.00064	FAR:0.01029
Epoch:26	test_acc:0.99804	FRR:0.00040	FAR:0.00479
Epoch:27	test_acc:0.99712	FRR:0.00079	FAR:0.00668
Epoch:28	test_acc:0.99794	FRR:0.00117	FAR:0.00369
